Jahr,Monat,Sentiment Score
2018,6,0.004118647162775903
2018,7,0.0045339789655432
2018,8,0.003597718496995772
2018,9,0.002771258233049684
2018,10,0.007326128165130113
2018,11,0.0026012960418618325
2018,12,0.008867094635339077
2019,1,0.010639838998031781
2019,2,0.003987295622636942
2019,3,0.0023142805694448057
2019,4,0.007116291507246062
2019,5,0.01160242320486333
2019,6,-0.00021792782000271433
2019,7,0.0023489856016447276
2019,8,0.010153975762495196
2019,9,0.004384849336147766
2019,10,0.005621217452331021
2019,11,0.007809030583305816
2019,12,0.0045887528340747795
2020,1,0.008073043417635841
2020,2,0.0082612431886117
2020,3,0.009844286262499497
2020,4,0.013238798809537745
2020,5,0.008737699297839217
2020,6,0.019953501906520905
2020,7,0.010717114916286768
2020,8,0.011560488518393053
2020,9,0.006338969729044857
2020,10,0.0061806563383723315
2020,11,0.0053908431140591104
2020,12,0.004061298182808412
2021,1,0.002785111697538855
2021,2,0.003846005640048151
2021,3,0.0057714992659932
2021,4,0.0037519586037804745
2021,5,0.0032724993813084556
2021,6,0.00659214122170868
2021,7,0.006308285443263161
2021,8,0.0037871195267316768
2021,9,0.005635070703402358
2021,10,-0.0011117299220920927
2021,11,0.0017744475723658305
2021,12,-0.00017391134513488986
2024,11,0.001949317738791423
